Input,WASM interpreter,WASM jit,Docker
10,0.0019396000000000003,0.00010890000000000002,3.01e-05
20,0.007475600000000001,0.000454,0.00010759999999999999
30,0.0161455,0.0010405,0.0002385
40,0.0285007,0.0018295,0.00046160000000000005
50,0.045449100000000006,0.0029230999999999997,0.0006902
60,0.06293580000000001,0.0040762,0.0009772000000000001
70,0.0833093,0.0057147000000000005,0.0013775000000000003
80,0.1069457,0.007575599999999999,0.0017744999999999996
90,0.13336220000000001,0.0096215,0.0021948999999999996
100,0.1623323,0.011519999999999999,0.0026614
110,0.1968485,0.014586199999999999,0.0031751
120,0.23188800000000004,0.0164288,0.0038105
130,0.2792205,0.019203500000000002,0.004631100000000001
140,0.33075730000000003,0.023322100000000002,0.005261900000000001
150,0.37545529999999994,0.024991799999999998,0.0060059
160,0.41873439999999995,0.029359600000000003,0.0067321
170,0.471143,0.03232259999999999,0.0078657
180,0.5315774,0.036653500000000006,0.0089234
190,0.5853733,0.0382121,0.0096801
200,0.6464329,0.041872000000000006,0.010817700000000001
